N° OF;Centre de charge;Code article;Désignation;Client;Qté à lancer;Qté déclarée;Date début prévue;Date fin prévue;Date début réelle;Date fin réelle;Statut OF;Priorité
OF251085;LC-03 Conditionnement;ART-62600;Kit conditionné K6;NORDIC MACHINES;9720;0;09/03/2026;13/03/2026;;;Planifié;Normale
OF251092;LA-01 Assemblage;ART-40120;Carter aluminium A20;GROUPE VALTEC;9000;0;09/03/2026;10/03/2026;;;Planifié;Normale
OF251099;LU-02 Usinage;ART-51810;Support moteur S18;SIDER INDUSTRIE;4950;0;10/03/2026;12/03/2026;;;Planifié;Normale
OF251106;LC-03 Conditionnement;ART-62400;Kit conditionné K4;MECAPLUS;15840;0;11/03/2026;16/03/2026;;;Planifié;Haute
OF251113;LA-01 Assemblage;ART-40130;Carter aluminium A30;ATLANTIQUE EQUIP.;9750;0;12/03/2026;16/03/2026;;;Planifié;Urgente
OF251120;LU-02 Usinage;ART-51210;Support moteur S12;TECHNOFORGE;2160;0;13/03/2026;16/03/2026;;;Planifié;Normale
OF251127;LC-03 Conditionnement;ART-62600;Kit conditionné K6;AUTOMOTIVE SA;5400;0;16/03/2026;18/03/2026;;;Planifié;Normale
OF251134;LA-01 Assemblage;ART-40120;Carter aluminium A20;NORDIC MACHINES;5400;0;16/03/2026;19/03/2026;;;Planifié;Normale
OF251141;LU-02 Usinage;ART-51810;Support moteur S18;GROUPE VALTEC;3150;0;17/03/2026;23/03/2026;;;Planifié;Haute
OF251148;LC-03 Conditionnement;ART-62400;Kit conditionné K4;SIDER INDUSTRIE;10560;0;18/03/2026;19/03/2026;;;Planifié;Urgente
OF251155;LA-01 Assemblage;ART-40130;Carter aluminium A30;MECAPLUS;6750;0;19/03/2026;23/03/2026;;;Planifié;Normale
OF251162;LU-02 Usinage;ART-51210;Support moteur S12;ATLANTIQUE EQUIP.;5400;0;20/03/2026;23/03/2026;;;Planifié;Normale
OF251169;LC-03 Conditionnement;ART-62600;Kit conditionné K6;TECHNOFORGE;11880;0;23/03/2026;27/03/2026;;;Planifié;Normale
OF251176;LA-01 Assemblage;ART-40120;Carter aluminium A20;AUTOMOTIVE SA;10800;0;23/03/2026;24/03/2026;;;Planifié;Haute
OF251183;LU-02 Usinage;ART-51810;Support moteur S18;NORDIC MACHINES;5850;0;23/03/2026;25/03/2026;;;Planifié;Urgente
OF251190;LC-03 Conditionnement;ART-62400;Kit conditionné K4;GROUPE VALTEC;5280;0;24/03/2026;27/03/2026;;;Planifié;Normale
OF251197;LA-01 Assemblage;ART-40130;Carter aluminium A30;SIDER INDUSTRIE;3750;0;25/03/2026;30/03/2026;;;Planifié;Normale
OF251204;LU-02 Usinage;ART-51210;Support moteur S12;MECAPLUS;3240;0;26/03/2026;27/03/2026;;;Planifié;Normale
OF251211;LC-03 Conditionnement;ART-62600;Kit conditionné K6;ATLANTIQUE EQUIP.;7560;0;27/03/2026;30/03/2026;;;Planifié;Haute
OF251218;LA-01 Assemblage;ART-40120;Carter aluminium A20;TECHNOFORGE;7200;0;30/03/2026;02/04/2026;;;Planifié;Urgente
